n,factorization,omega,f,minimizers,above_sqrt,at_sqrt,equals_n_over_largest_prime
2390,2*5*239,3,10,239 478 717 956 1195,False,False,True
2391,3*797,2,3,797,False,False,True
2392,2^3*13*23,3,26,276 1104,False,False,False
2394,2*3^2*7*19,4,14,171,False,False,False
2395,5*479,2,5,479 958,False,False,True
2396,2^2*599,2,4,599 1198,False,False,True
2397,3*17*47,3,51,47 94 141 188,True,False,True
2398,2*11*109,3,22,109 218 327 436 545 654 763 872 981 1090 1199,False,False,True
2400,2^5*3*5^2,3,25,96,False,False,False
2401,7^4,1,7,343 686 1029,False,False,False
2402,2*1201,2,2,1201,False,False,True
2403,3^3*89,2,27,89 178 267 356 445 534 623 712 801 890 979 1068 1157,False,False,True
2404,2^2*601,2,4,601 1202,False,False,True
2405,5*13*37,3,65,37 74 111 148 185 222 259 296 333 370 407 444 481 518 555 592 629 666 703 740 777 814 851 888 925 962 999 1036,True,False,True
2406,2*3*401,3,6,401 802 1203,False,False,True
2407,29*83,2,29,83 166 249 332 415 498 581 664 747 830 913 996 1079 1162,False,False,True
2408,2^3*7*43,3,14,344,False,False,False
2409,3*11*73,3,3,803,False,False,False
2410,2*5*241,3,10,241 482 723 964 1205,False,False,True
2412,2^2*3^2*67,3,9,268,False,False,False
2413,19*127,2,19,127 254 381 508 635 762 889 1016 1143,False,False,True
2414,2*17*71,3,2,1207,False,False,False
2415,3*5*7*23,4,21,1150,False,False,False
2416,2^4*151,2,8,302,False,False,False
2418,2*3*13*31,4,26,93,False,False,False
2419,41*59,2,41,59 118 177 236 295 354 413 472 531 590 649 708 767 826 885 944 1003 1062 1121 1180,False,False,True
2420,2^2*5*11^2,3,20,121 242 363 484 605 726 847 968 1089,False,False,False
2421,3^2*269,2,9,269 538 807 1076,False,False,True
2422,2*7*173,3,14,173 346 519 692 865 1038 1211,False,False,True
2424,2^3*3*101,3,12,808,False,False,False
2425,5^2*97,2,25,97 194 291 388 485 582 679 776 873 970 1067 1164,False,False,True
2426,2*1213,2,2,1213,False,False,True
2427,3*809,2,3,809,False,False,True
2428,2^2*607,2,4,607 1214,False,False,True
2429,7*347,2,7,347 694 1041,False,False,True
2430,2*3^5*5,3,10,243,False,False,False
2431,11*13*17,3,13,374,False,False,False
2432,2^7*19,2,8,1216,False,False,False
2433,3*811,2,3,811,False,False,True
2434,2*1217,2,2,1217,False,False,True
2435,5*487,2,5,487 974,False,False,True
2436,2^2*3*7*29,4,84,29 58 87 116 145 174 203 232 261 290 319 348 377 406 435 464 493 522 551 580 609 638 667 696 725 754 841 870 899 928 957 986 1015 1044 1073 1102 1131 1160 1189 1218,True,False,True
2438,2*23*53,3,2,1219,False,False,False
2439,3^2*271,2,9,271 542 813 1084,False,False,True
2440,2^3*5*61,3,8,305 915,False,False,False
2442,2*3*11*37,4,66,37 74 111 148 185 222 259 296 333 370 407 444 481 518 555 592 629 666 703 740 777 814 851 888 925 962 999 1036 1073,True,False,True
2443,7*349,2,7,349 698 1047,False,False,True
2444,2^2*13*47,3,52,47 94 141 188 235,True,False,True
2445,3*5*163,3,3,815,False,False,False
2446,2*1223,2,2,1223,False,False,True
2448,2^4*3^2*17,3,18,136,False,False,False
2449,31*79,2,31,79 158 237 316 395 474 553 632 711 790 869 948 1027 1106 1185,False,False,True
2450,2*5^2*7^2,3,49,400,False,False,False
2451,3*19*43,3,57,43 86 129 172 215 258 301 344 387 430 473 516 559 602,True,False,True
2452,2^2*613,2,4,613 1226,False,False,True
2453,11*223,2,11,223 446 669 892 1115,False,False,True
2454,2*3*409,3,6,409 818 1227,False,False,True
2455,5*491,2,5,491 982,False,False,True
2456,2^3*307,2,8,307 614 921 1228,False,False,True
2457,3^3*7*13,3,91,27 243 270,True,False,False
2458,2*1229,2,2,1229,False,False,True
2460,2^2*3*5*41,4,6,410,False,False,False
2461,23*107,2,23,107 214 321 428 535 642 749 856 963 1070 1177,False,False,True
2462,2*1231,2,2,1231,False,False,True
2463,3*821,2,3,821,False,False,True
2464,2^5*7*11,3,28,264,False,False,False
2465,5*17*29,3,5,986,False,False,False
2466,2*3^2*137,3,18,137 274 411 548 685 822 959 1096 1233,False,False,True
2468,2^2*617,2,4,617 1234,False,False,True
2469,3*823,2,3,823,False,False,True
2470,2*5*13*19,4,10,247,False,False,False
2471,7*353,2,7,353 706 1059,False,False,True
2472,2^3*3*103,3,24,103 206 309 412 515 618 721 824 927 1030 1133 1236,False,False,True
