source	row	p_num	q_num	w01_num	w10_num	w11_num	denominator	sign	cleared_deficit
candidates-650652.tsv	23	999997395	1386	999999912	978102892	999999908	1000000000	1	66028751573195027339316055091208138662104357886942771914860029917192728042492553618668475686178433862493265430912482962215947304381062385606464282361640706481496149427852490161769134896832856137172793210362847710171315416551102698529696951940225246952742404458803992031519328246349070929572818688359053223207445647852100211773709717495203432820404069015242691220097466368000000000000000
candidates-650652.tsv	24	999999798	79	999999925	882592378	999999938	1000000000	1	3158601312437339698264381532266280942901831800059485733439473927516353460605247589375783615083752817353754656027365139499914266486376527002758442054264435034374415371446238387718277921995180240578922344282115086346950830240466780682688066882982472037375204267505884641912512282104663896116097517349681271722176299735424382242619913651407034484634145279895409648188639957000000000000000
candidates-650652.tsv	25	999997953	874	999999991	981694571	999999969	1000000000	1	54962467058251139345255095968885662350537090854359373179631854008822973060019724543537421445960698283820247071911415230751751670829942528061006274840345544638142245163452052098874896007646549981600945923780860667915724991008542168165782773436095860825292250782784633187408642392418258985288200407475052142303738300626147827396883420553888394813312514491313113577482770217356482162098176
candidates-650652.tsv	26	999994037	1621	999999817	962251068	999999879	1000000000	1	43148872729641768044865681309944784897887911827838446434922868282175794212616069979761182412435116254138189264021090495137901094193093049461900039004889617018103835759033619756792480277889446206490373105920271347961467419306447055721112669573338347546751954904117562323704048934619439619935192944920287717655807946792833369187415390338012017393403321108028361597874091826819084483002368
candidates-650652.tsv	27	999999818	1237	1000000000	996671838	999999923	1000000000	1	17970045245567058246668218417903924260656988108281454445375949918664384701377616658008472431678535499126273430961929138319643285011722140384993150091592603251510926695005898199405240670420053303603876273673154717464568814857579893221631544846965662682360275349895678764601451138298101025787374668728719451676105609177160749524003607310616632818942858511302175086745464599000000000000000
candidates-650652.tsv	28	999988155	1047	999999899	990858645	999999901	1000000000	1	11016400671266911285063201136994754621120560665732519200346446246108297554133239223228476989430863066933978875214803846574091929055444155365905411932162188680571144360358343000570631503980590912442308625481976557213039265058506353939542425791898675540736751751435499780116859946872705676847803168458002772102634292152665104071830000312595021467097055487527456952634380480018646240234375
candidates-650652.tsv	29	999999000	279	999999958	983529929	999999918	1000000000	1	32558543833882618265702036185455977722086104378146370649326617423266253630049899969801852313607573141267101026254504607944821171581778451592262713744616066025190395183289101523462135863407736879591890135181813925317428453585120183259138700838302401836284727022224172836184493495369432007354765456226391792965286081498977010692878511216342249000000000000000000000000000000000000000000000
candidates-650652.tsv	30	999997631	1610	999999930	963728005	999999984	1000000000	1	6814569809257091405426546203834447265145508328468832689902812553315225912539303709516004306848470887481793110837021607793226339034732358093356732768350614796306033100268360063124617931477215514998472910877479113423125660383289662046180269811186445289829143455070329584571331609165949992797274892660578321675264987174843899055603580409661368149231668663456568969703743601000000000000000
candidates-650652.tsv	31	999997437	37	999999855	963131745	999999847	1000000000	1	4786866332869971059268768901066354110470242969905648704958119966746960382424447080487666569014173429656984908135690969673962414418210934561668011292641429667884325129792502709035709725013388705571925169795735848857351712688538871935891009636685364702326926966555590829543454571407497022252673236072153691984728467628388368831840440058378149872827649004463105286865266762271619945541193
candidates-650653.tsv	0	999917213	110	999999997	999714639	999999987	1000000000	1	125652725987219503084473228155806272050790316229411472360018845417289508869596593773399526663352514088306643296834029631112129530314471179150437231534457783816772956789089665835729125349637443966616856595675711173930826550551715038559636694325612923255827768363780359005737204963447621283575858209241041212754154407883042056237600247310356950344783914180788398569057225943000000000000000
candidates-650653.tsv	1	999926569	593	999999990	999613319	999999991	1000000000	1	3663865523221760227602604313095710456030399238537264995882681381090835047601930175767292166175310570752533802710852289079338203771355460132940653593477736887290701717258302321162211798570791215288320482457653352923608746087597494398687857656803753018776236442255150078443604046350303201806004714902771972998450188056665191210222881902043912412367088640025614826326570621161695212568576
candidates-650653.tsv	2	999967726	19850	999999991	999766459	999999993	1000000000	1	4000252566238281536017059094176538390851860443986773934375387725275529704362529397290184454989425206485014533420875569276475880999093912617262103805108507575626290034608871462216574463739046423470118539938924474507295827622485907172266206317032257263279394723326605508236861218013746061280259781187417828699892128230423360828137346294341419981445031035643000000000000000000000000000000
candidates-650653.tsv	3	999964479	16713	999999994	999930245	999999985	1000000000	1	58170202981519305679897130573415512383481818953056684345420776842468159975043696549714292944640360550827628797276140685122339767470661804120613516270751352347434447233679262604090445761858129563086365862917065790984375755809924755792592099390958107983190707822788223958346262584310068071739432632388570484833341342820290819627294886413269391493058301249983882056192677739214477212024832
