original_clause	status	remaining_clauses	seconds
453	RETAIN_CAP	2329	0.008254
454	RETAIN_CAP	2329	0.007928
455	RETAIN_CAP	2329	0.007724
456	RETAIN_CAP	2329	0.008431
457	RETAIN_CAP	2329	0.008957
458	RETAIN_CAP	2329	0.008423
459	RETAIN_CAP	2329	0.008350
460	RETAIN_CAP	2329	0.008197
461	RETAIN_CAP	2329	0.008212
462	RETAIN_CAP	2329	0.008067
463	RETAIN_CAP	2329	0.007667
464	RETAIN_CAP	2329	0.008006
465	RETAIN_CAP	2329	0.007669
466	RETAIN_CAP	2329	0.008036
467	RETAIN_CAP	2329	0.008105
468	RETAIN_CAP	2329	0.007773
469	RETAIN_CAP	2329	0.007900
470	RETAIN_CAP	2329	0.007984
471	RETAIN_CAP	2329	0.007698
472	RETAIN_CAP	2329	0.007816
473	RETAIN_CAP	2329	0.008131
474	RETAIN_CAP	2329	0.007597
475	RETAIN_CAP	2329	0.007449
476	RETAIN_CAP	2329	0.007796
477	RETAIN_CAP	2329	0.007711
478	RETAIN_CAP	2329	0.008230
479	RETAIN_CAP	2329	0.008121
480	RETAIN_CAP	2329	0.007719
481	RETAIN_CAP	2329	0.008437
482	RETAIN_CAP	2329	0.008094
483	RETAIN_CAP	2329	0.008256
484	RETAIN_CAP	2329	0.008617
485	RETAIN_CAP	2329	0.008456
486	RETAIN_CAP	2329	0.008448
487	RETAIN_CAP	2329	0.007923
488	RETAIN_CAP	2329	0.008228
489	RETAIN_CAP	2329	0.008125
490	RETAIN_CAP	2329	0.007761
491	RETAIN_CAP	2329	0.007775
492	RETAIN_CAP	2329	0.007748
493	RETAIN_CAP	2329	0.008211
494	RETAIN_CAP	2329	0.008199
495	RETAIN_CAP	2329	0.008869
496	RETAIN_CAP	2329	0.008409
497	RETAIN_CAP	2329	0.007651
498	RETAIN_CAP	2329	0.007645
499	RETAIN_CAP	2329	0.007920
500	RETAIN_CAP	2329	0.008330
501	RETAIN_CAP	2329	0.008051
502	RETAIN_CAP	2329	0.008135
503	RETAIN_CAP	2329	0.009074
504	RETAIN_CAP	2329	0.007568
505	RETAIN_CAP	2329	0.007449
506	RETAIN_CAP	2329	0.007494
507	RETAIN_CAP	2329	0.007571
508	RETAIN_CAP	2329	0.007527
509	RETAIN_CAP	2329	0.007491
510	RETAIN_CAP	2329	0.007519
511	RETAIN_CAP	2329	0.007684
512	RETAIN_CAP	2329	0.007609
