chart	family	value	x	y	r	h	coefficient
trans_equal_cycle_dominant_singleton_large	trans_equal	4	1	1	0	0	3
trans_equal_cycle_dominant_singleton_large	trans_equal	4	1	1	1	0	-3
trans_zero_trans_mass_dominant	trans_zero	0	1	0	0	0	6
trans_zero_trans_mass_dominant	trans_zero	0	1	0	1	0	-6
trans_zero_trans_mass_dominant	trans_zero	1	0	1	1	0	6
trans_zero_trans_mass_dominant	trans_zero	2	0	0	1	0	6
trans_zero_trans_mass_dominant	trans_zero	2	0	1	1	0	-6
trans_zero_trans_mass_dominant	trans_zero	3	0	0	0	0	3
trans_zero_trans_mass_dominant	trans_zero	3	0	0	1	0	-3
trans_zero_trans_mass_dominant	trans_zero	3	0	0	1	1	3
trans_zero_trans_mass_dominant	trans_zero	3	0	0	2	1	-3
trans_zero_trans_mass_dominant	trans_zero	3	1	0	0	0	-3
trans_zero_trans_mass_dominant	trans_zero	3	1	0	1	0	3
trans_zero_trans_mass_dominant	trans_zero	3	1	0	1	1	-3
trans_zero_trans_mass_dominant	trans_zero	3	1	0	2	1	3
trans_zero_trans_mass_dominant	trans_zero	4	0	0	0	0	3
trans_zero_trans_mass_dominant	trans_zero	4	0	0	1	0	-3
trans_zero_trans_mass_dominant	trans_zero	4	0	0	1	1	-3
trans_zero_trans_mass_dominant	trans_zero	4	0	0	2	1	3
trans_zero_trans_mass_dominant	trans_zero	4	1	0	0	0	-3
trans_zero_trans_mass_dominant	trans_zero	4	1	0	1	0	3
trans_zero_trans_mass_dominant	trans_zero	4	1	0	1	1	3
trans_zero_trans_mass_dominant	trans_zero	4	1	0	2	1	-3
trans_zero_cycle_deviation_dominant	trans_zero	0	1	0	0	0	6
trans_zero_cycle_deviation_dominant	trans_zero	0	1	0	1	1	-6
trans_zero_cycle_deviation_dominant	trans_zero	1	0	1	1	1	6
trans_zero_cycle_deviation_dominant	trans_zero	2	0	0	1	1	6
trans_zero_cycle_deviation_dominant	trans_zero	2	0	1	1	1	-6
trans_zero_cycle_deviation_dominant	trans_zero	3	0	0	0	0	3
trans_zero_cycle_deviation_dominant	trans_zero	3	0	0	1	0	3
trans_zero_cycle_deviation_dominant	trans_zero	3	0	0	1	1	-3
trans_zero_cycle_deviation_dominant	trans_zero	3	0	0	2	1	-3
trans_zero_cycle_deviation_dominant	trans_zero	3	1	0	0	0	-3
trans_zero_cycle_deviation_dominant	trans_zero	3	1	0	1	0	-3
trans_zero_cycle_deviation_dominant	trans_zero	3	1	0	1	1	3
trans_zero_cycle_deviation_dominant	trans_zero	3	1	0	2	1	3
trans_zero_cycle_deviation_dominant	trans_zero	4	0	0	0	0	3
trans_zero_cycle_deviation_dominant	trans_zero	4	0	0	1	0	-3
trans_zero_cycle_deviation_dominant	trans_zero	4	0	0	1	1	-3
trans_zero_cycle_deviation_dominant	trans_zero	4	0	0	2	1	3
trans_zero_cycle_deviation_dominant	trans_zero	4	1	0	0	0	-3
trans_zero_cycle_deviation_dominant	trans_zero	4	1	0	1	0	3
trans_zero_cycle_deviation_dominant	trans_zero	4	1	0	1	1	3
trans_zero_cycle_deviation_dominant	trans_zero	4	1	0	2	1	-3
