z0	z1	z2	z3	z4	numerator	denominator
1	2	6	0	6	324215	1458
1	2	6	1	5	140	3
1	2	6	2	4	-7750	81
1	2	6	3	3	8020	243
1	2	6	4	2	7010	27
1	2	7	0	5	500	3
1	2	7	1	4	3340	81
1	2	7	2	3	-7880	81
1	2	7	3	2	3350	27
1	2	8	0	4	7100	81
1	2	8	1	3	460	81
1	2	8	2	2	-1100	9
1	2	9	0	3	32050	729
1	2	9	1	2	1850	81
1	2	10	0	2	995	81
1	3	0	0	11	-335	2304
1	3	0	1	10	-3815	3456
1	3	0	2	9	58175	1296
1	3	0	3	8	161155	3888
1	3	0	4	7	178375	2916
1	3	0	5	6	83645	729
1	3	0	6	5	410	9
1	3	0	7	4	4150	243
1	3	0	8	3	2890	243
1	3	0	9	2	-2200	243
1	3	1	0	10	-3815	3456
1	3	1	1	9	-6625	648
1	3	1	2	8	-33245	1296
1	3	1	3	7	-40325	729
1	3	1	4	6	-26465	729
1	3	1	5	5	-80	3
1	3	1	6	4	-2540	243
1	3	1	7	3	8540	243
1	3	1	8	2	230	27
1	3	2	0	9	58175	1296
1	3	2	1	8	-33245	1296
1	3	2	2	7	-45185	486
1	3	2	3	6	-60220	729
1	3	2	4	5	70	3
1	3	2	5	4	700	81
1	3	2	6	3	8020	243
1	3	2	7	2	3350	27
1	3	3	0	8	161155	3888
1	3	3	1	7	-40325	729
1	3	3	2	6	-60220	729
1	3	3	3	5	-4400	9
1	3	3	4	4	-7840	243
1	3	3	5	3	-32560	243
1	3	3	6	2	-61600	81
1	3	4	0	7	178375	2916
1	3	4	1	6	-26465	729
1	3	4	2	5	70	3
1	3	4	3	4	-7840	243
1	3	4	4	3	7900	243
1	3	4	5	2	17260	27
1	3	5	0	6	83645	729
1	3	5	1	5	-80	3
1	3	5	2	4	700	81
1	3	5	3	3	-32560	243
1	3	5	4	2	17260	27
1	3	6	0	5	410	9
1	3	6	1	4	-2540	243
1	3	6	2	3	8020	243
1	3	6	3	2	-61600	81
1	3	7	0	4	4150	243
1	3	7	1	3	8540	243
1	3	7	2	2	3350	27
1	3	8	0	3	2890	243
1	3	8	1	2	230	27
1	3	9	0	2	-2200	243
1	4	0	0	10	-3815	13824
1	4	0	1	9	-6625	2592
1	4	0	2	8	446275	5184
1	4	0	3	7	178375	2916
1	4	0	4	6	2695	2916
1	4	0	5	5	265	3
1	4	0	6	4	3010	243
1	4	0	7	3	-6370	243
1	4	0	8	2	530	27
1	4	1	0	9	-6625	2592
1	4	1	1	8	-72125	2592
1	4	1	2	7	-25745	972
1	4	1	3	6	-26465	729
1	4	1	4	5	-385	3
1	4	1	5	4	-6130	81
1	4	1	6	3	-17860	243
1	4	1	7	2	-4400	27
1	4	2	0	8	446275	5184
1	4	2	1	7	-25745	972
1	4	2	2	6	-96935	486
1	4	2	3	5	70	3
1	4	2	4	4	-12490	81
1	4	2	5	3	1580	81
1	4	2	6	2	7010	27
1	4	3	0	7	178375	2916
1	4	3	1	6	-26465	729
