family	index	status	seconds	variables	clauses	cnf_sha256	proof_sha256	digits	detail
p199	75	UNSAT	0.120332	208	4151	0b0e380ac09a36cec5fd2fd83fcc3f8ba957623a7ca7aa37e849e83bdf55440b	cc0335f9d19f8cb616f1aa4b90a8bec49bcb97c80fd5a95e2f1b502ad5326a06	-	drat-trim VERIFIED
p199	76	UNSAT	0.119799	208	4151	73a2d17445737b0d2bf684052a90e42bb024288e77af9488d47d063626f1b08f	c818fc724825cc70516bb4a593003980b42cc750b523ee16089fe6cf9ecffde3	-	drat-trim VERIFIED
p199	77	UNSAT	0.121626	208	4151	0e29493de2fcc3603cc044e2ee1b0ed508e72450eaacf51a0228161186d5ebb5	9b167be15ab7bd907fa4f7e47b3eb007639169a3c6307efb803012d6951f1cb2	-	drat-trim VERIFIED
p199	78	UNSAT	0.120549	208	4151	633887922101d35d9b8674f8d498d92b6f0f8306045e7f361e1a34fece5dbf90	1252f0bcbc9a7202ca3fa11eaeee86731f37a046c91bd35d944346184befa34e	-	drat-trim VERIFIED
p199	79	UNSAT	0.129332	208	4151	0bda72d8bc9d62d2b837e5fa5edfe940b14e9c5de0d8316b810d7f653688900c	a2ae23047bc1d364d55eb682f744ad99dc68ccb14ed846f1e7bf1a04b2d30195	-	drat-trim VERIFIED
p199	80	UNSAT	0.140486	208	4151	afe0648ab2a1cdc931b6142a61d147417ee7b9002b27c09d8b2c9ec297b29a71	ec37707e638869d0b071d5ea26627b0c9f13d5a5fa7d04d4a5bbfe75518fe6db	-	drat-trim VERIFIED
p199	81	UNSAT	0.135127	208	4151	2761cbd8f580320ce8a74086f2aee9187fc740c2d722f1b8632652f15141c27f	ba693415bb6e47bc951af8bec128e2ddb896e6b6466a1bd77a69901ae7737867	-	drat-trim VERIFIED
p199	82	UNSAT	0.141648	208	4151	57b8a457efa759925daa6795f30aed075dc90d5dacef0f26d971d6dedcaeacfb	a12b9d8a40761625cf2c97c6c065ebc26cccc601f8ecf4284246c9b70b3d7e32	-	drat-trim VERIFIED
p199	83	UNSAT	0.125322	208	4151	cb30aa890bb44c4da4cedd443b552703807a27ed73c171c401736a5576d0750c	623f6c94427846523989a16d12301bfe0e85c0ce7050b68229fe7d778655e5ca	-	drat-trim VERIFIED
p199	84	UNSAT	0.130553	208	4151	6554b1e95d9ad79d8cbaa2ccfcf5b08b0da6e47a39b376a173afcf926210482b	9336365c02ccb1606f23a52e896915abe42beee0307d927dd4d330ab07b6de58	-	drat-trim VERIFIED
p199	85	UNSAT	0.130358	208	4151	11e637fb143ed82248ecc10954d9a61abb867abd36f3a62f3581b2671b9a2907	94abd019b1c0f96d351bc0c3daf3d483316399ab6209e82bdbaae11ed8ab71cb	-	drat-trim VERIFIED
p199	86	UNSAT	0.124963	208	4151	d6aef22f84399a89d51f4492d72c04d9f5aee9a445c33f93a657af5bec76690f	21e45b1cd20c8e0cfcefaf8a4f33099b3539b69a16b73369398a54c3922e94ee	-	drat-trim VERIFIED
p199	87	UNSAT	0.127223	208	4151	6b57fbb1e13fd1d730fee6ae88d13a68eba91c5af0c7a7981c717781c56958af	923310c1b19d0beaaf5dc23e32e0c9db92f0051a207b369dae48fa3ee533d9ce	-	drat-trim VERIFIED
p199	88	UNSAT	0.122702	208	4151	a465474f95bfafa26a21f38dc0aef7ee16b4a12271b83522f7a3b07486770ba4	2a17ed68cec3f477ff253c24d1fd6f914886316d17673026f5206a13839d3c51	-	drat-trim VERIFIED
p199	89	UNSAT	0.136153	208	4151	447c8dfe6a30c141856f26a48e3bdd06af6b6af4c52d4cc8368fcbb17b5eee55	16da200cb039386bdc0b8f350a0e8f8fe8504aa6066f2719d4f4b7770e6b527a	-	drat-trim VERIFIED
p199	90	UNSAT	0.121032	208	4151	ea62a88506e125bef64bfae2a24fb7b4b064fdf1e63f18bbe5f5868dad62a334	f7ccf71436d8642c44d028fb946d74aaa2aed4ab4a27ac749815303ed667a34e	-	drat-trim VERIFIED
p199	91	UNSAT	0.132776	208	4151	f2a64e9ecb6ba768c2cd7adfecc6025c5c1270de6bace40003a62c5c795fae20	5ea163637aa3a4fef54531096eee1405cfeec26b40581f21dd84a0b8cf0ef589	-	drat-trim VERIFIED
p199	92	UNSAT	0.129683	208	4151	d824241dc11f9573a32c8275fd231fbe512aebc3f67d8c0a2747aa854aaee267	1758513405013b999c9d4fb67d7b93503636fe020521153bf4c9ba5292b56513	-	drat-trim VERIFIED
p199	93	UNSAT	0.124461	208	4151	75c53cbd3dc6b9f544fde9bc210ca58a1f04ca89d81b0aabd118feec0d97d00e	8296f74e2c1aa0ff1b78faabb43865529089b2c8c9ef19d253b7f7bbfc0cc2c7	-	drat-trim VERIFIED
p199	94	UNSAT	0.121207	208	4151	99a238b259073423e836635619eda778cf8cfbc5f9cad8610d6507639a79c74e	0e2a65f5b539f3f0e621a28f315077ac0fba946a036c64a93137e6ba67c8500f	-	drat-trim VERIFIED
p199	95	UNSAT	0.125629	208	4151	155473f567d410a4de80555ee426f29459751760701c6e46cf243968eb498da9	5a2a1569585d22c538bfa808c67e5ce64270450ef1872c3b11c28ad2d7be92e7	-	drat-trim VERIFIED
p199	96	UNSAT	0.126587	208	4151	0d7384cbed55d78da425f47b96b073d8679efd9482077da457cb33fb11f48c1d	d0f08f9f3d3dc7902d0f5fb4ffc27e7d8eb308537ddba81bc7668739debc1e73	-	drat-trim VERIFIED
p199	97	UNSAT	0.127740	208	4151	29dcc882f654486982a83f887041e141afa0291552bac49afbb45b135fc52ddd	a639f435b5c6d1efb0c6d320fb33c6b5eb4550217e36acef1ed3876170439277	-	drat-trim VERIFIED
p199	98	UNSAT	0.126368	208	4151	2ccf3c62563c727f2d0a87ee9fe57cd70ec440aac16faa6a6443042771db907e	b46eb4f0c0e678ae2a577b6f5e056fd52bf1ee1e9aa4e9a42d967e8c9f60baad	-	drat-trim VERIFIED
p199	99	UNSAT	0.130814	208	4151	b8ab188116f9ffb971bf6e315fd90db96be60d3f3a289e6bb411fc07b54fdbf0	ba6deb386b03bf3566f879591c984b9c5812dac70176549922cc302193333ce1	-	drat-trim VERIFIED
