base_index	leaf_ordinal	status	left_counts	left_hashes	right_counts	right_hashes	left_path	left_sha256	right_path	right_sha256	generated_children	query_checks	seconds	detail
3	940	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.45e-06	left: aggregate wall cap
3	941	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.38e-06	left: aggregate wall cap
3	948	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.65e-06	left: aggregate wall cap
3	949	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.53e-06	left: aggregate wall cap
3	950	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.54e-06	left: aggregate wall cap
3	951	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.44e-06	left: aggregate wall cap
3	959	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.57e-06	left: aggregate wall cap
3	960	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.51e-06	left: aggregate wall cap
3	961	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.43e-06	left: aggregate wall cap
3	969	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.52e-06	left: aggregate wall cap
3	970	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.47e-06	left: aggregate wall cap
3	971	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.46e-06	left: aggregate wall cap
3	978	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.49e-06	left: aggregate wall cap
3	986	CAP	0,0,0,0,0,0,0	-,-,-,-,-,-,-	0,0,0,0,0,0	-,-,-,-,-,-	-	-	-	-	0	0	1.548e-05	left: aggregate wall cap
